date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:23	3037/3037	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bdd-5ec17fe652e00%22	https://www.utb.ac.rw/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=5.6.0	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min0969.js	(from https://www.utb.ac.rw/)
10:46:23	992/992	---MCZ	200	added ('OK')	application/javascript	etag:W/%223e0-5ec17fe376740%22	https://www.utb.ac.rw/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart.js?ver=6.6.0	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart31dc.js	(from https://www.utb.ac.rw/)
10:46:24	17908/17908	---MCZ	200	added ('OK')	application/javascript	etag:W/%2245f4-5ec17fe747040%22	https://www.utb.ac.rw/wp-content/themes/university/js/bootstrap.min.js?ver=5.7.9	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-content/themes/university/js/bootstrap.minfcc2.js	(from https://www.utb.ac.rw/)
10:46:25	19087/19087	---MCZ	200	added ('OK')	application/javascript	etag:W/%224a8f-5ec17fe747040%22	https://www.utb.ac.rw/wp-content/themes/university/js/cactus-themes.js?ver=2.1	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-content/themes/university/js/cactus-themes53cf.js	(from https://www.utb.ac.rw/)
10:46:27	19600/19600	---MCZ	200	added ('OK')	application/json	date:Wed,%2024%20May%202023%2008:46:26%20GMT	https://www.utb.ac.rw/wp-json/wp/v2/pages/333	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-json/wp/v2/pages/333.json	(from https://www.utb.ac.rw/)
10:46:27	93/93	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2024%20May%202023%2008:46:23%20GMT	https://www.utb.ac.rw/xmlrpc.php?rsd	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/xmlrpc.260db0.delayed	(from https://www.utb.ac.rw/)
10:46:28	1045/1045	---MCZ	200	added ('OK')	application/xml	etag:W/%22415-5ec17fec0bb80%22	https://www.utb.ac.rw/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-includes/wlwmanifest.xml	(from https://www.utb.ac.rw/)
10:46:28	929071/-1	---M--	200	added ('OK')	application/json	date:Wed,%2024%20May%202023%2008:46:26%20GMT	https://www.utb.ac.rw/wp-json/	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-json/index.html	(from https://www.utb.ac.rw/)
10:46:29	2235/2235	---MCZ	200	added ('OK')	application/json	date:Wed,%2024%20May%202023%2008:46:23%20GMT	https://www.utb.ac.rw/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.utb.ac.rw%2F	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-json/oembed/1.0/embeda9ad.json	(from https://www.utb.ac.rw/)
10:46:31	2325/2325	---MCZ	200	added ('OK')	text/xml	date:Wed,%2024%20May%202023%2008:46:23%20GMT	https://www.utb.ac.rw/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.utb.ac.rw%2F&format=xml	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-json/oembed/1.0/embed12c7	(from https://www.utb.ac.rw/)
